unique_id,cutoff,metric,Naive,SeasonalNaive,AutoETS,AutoARIMA,LightGBM,AutoNBEATS,AutoNHITS,Chronos
hotel_0,2023-02-10,bias,-0.17901234567901234,-0.09611992945326278,-0.20373964274949868,-0.06123962812603672,-0.03256953925868669,,,
hotel_0,2023-03-10,bias,0.09656084656084654,0.01014109347442682,-0.006513779718504898,0.04092312434716968,-0.009749192807692503,,,
hotel_0,2023-04-07,bias,0.3262786596119929,0.34567901234567894,0.2740498616830464,0.3048355507926977,0.2415272349345098,,,
hotel_0,2023-05-05,bias,0.2081128747795414,0.05820105820105819,0.098951231858518,0.08778209790712278,0.06711433255270259,,,
hotel_0,2023-06-02,bias,-0.04188712522045858,-0.16887125220458557,-0.19966790297514825,-0.10806764580484729,-0.03129771858642036,-0.13457881618534234,-6109.7083755035665,
hotel_0,2023-02-10,mae,0.20194003527336862,0.17548500881834214,0.20900664342649597,0.12060659088577366,0.11186306543825567,,,
hotel_0,2023-03-10,mae,0.0974426807760141,0.09656084656084654,0.09054138318980261,0.08238071336433664,0.08992904560481628,,,
hotel_0,2023-04-07,mae,0.3262786596119929,0.34567901234567894,0.2740498616830464,0.3048355507926977,0.24289974640902273,,,
hotel_0,2023-05-05,mae,0.23633156966490296,0.16843033509700175,0.148305148190103,0.1661165934832694,0.14162166926974312,,,
hotel_0,2023-06-02,mae,0.11155202821869489,0.28527336860670194,0.19966790297514825,0.14681930521251293,0.07728757713297572,0.1486050526774119,10425.940856799036,
hotel_0,2023-02-10,rmse,0.22538412883456505,0.21013574615317782,0.2363351138025701,0.1347371902721157,0.1276157672312568,,,
hotel_0,2023-03-10,rmse,0.17206617116995498,0.1411292943949192,0.1295539190403168,0.13143765483908448,0.13168901942789596,,,
hotel_0,2023-04-07,rmse,0.36600900646067364,0.3842065757924799,0.3051184491511494,0.33146629019522433,0.2781050520268035,,,
hotel_0,2023-05-05,rmse,0.2938241963302533,0.21160714027324043,0.19420696756854308,0.21160536079337255,0.18223131586932256,,,
hotel_0,2023-06-02,rmse,0.13384430797944422,0.3168485679343817,0.2152733926705726,0.1686815597911448,0.09247426015769818,0.17950079819098305,12814.733198924047,
hotel_0,2023-02-10,mape,0.22170275258138536,0.20104204021705838,0.22857917662451221,0.13999432835612483,0.13629406534679195,,,
hotel_0,2023-03-10,mape,0.16439474964444736,0.14189556846640586,0.13302082819250388,0.13301461243162138,0.13346507970818197,,,
hotel_0,2023-04-07,mape,0.6361470773167248,0.6696047119352662,0.5261415844774366,0.5790904696751538,0.47303294929138806,,,
hotel_0,2023-05-05,mape,0.5283547081290518,0.3429710839183072,0.3350478588119115,0.3669325481359477,0.30236596642268626,,,
hotel_0,2023-06-02,mape,0.15485232093801843,0.4154426682794849,0.2636905505839509,0.196005664901939,0.10741913301803882,0.20642314268694253,15031.753549206576,
hotel_105,2023-02-10,bias,0.18890386343216534,-0.04919137466307279,-0.016909521594322196,-0.028763633613814208,0.03813217014392845,,,
hotel_105,2023-03-10,bias,0.0029200359389038983,-0.08872416891284818,-0.11801350782011764,-0.07614798571959427,-0.007867608205002843,,,
hotel_105,2023-04-07,bias,0.16127583108715185,-0.02830188679245282,0.025023163881863854,-0.004154659026093244,-0.05468765696884981,,,
hotel_105,2023-05-05,bias,-0.03953279424977537,-0.15633423180592992,-0.132881436186755,-0.11566630487990522,-0.16315280931269657,,,
hotel_105,2023-06-02,bias,-0.04761904761904761,-0.046720575022461804,-0.06935603160707793,-0.0799801160690611,-0.07494811409155673,-0.087172325208502,-5360.539869791735,
hotel_105,2023-02-10,mae,0.19519317160826596,0.10175202156334232,0.08395135597180385,0.09131738985628125,0.07971970331204505,,,
hotel_105,2023-03-10,mae,0.10489667565139264,0.10849056603773587,0.1293912975231385,0.11557025395816638,0.10271098687813449,,,
hotel_105,2023-04-07,mae,0.1684636118598383,0.09299191374663074,0.08183636647499291,0.08488677960665299,0.07866630154119977,,,
hotel_105,2023-05-05,mae,0.07951482479784365,0.16801437556154536,0.13554831282413424,0.11970561802755698,0.16315280931269657,,,
hotel_105,2023-06-02,mae,0.052111410601976625,0.05525606469002694,0.07998228175483231,0.08048777725789787,0.07875238236825158,0.091821012672067,10014.479841578466,
hotel_105,2023-02-10,rmse,0.23824479528728346,0.1374479548965886,0.11427616115097948,0.12020414733366859,0.0993733892762644,,,
hotel_105,2023-03-10,rmse,0.1277419824999714,0.1439933736906249,0.1769033414397487,0.1416452405614751,0.11980747322594426,,,
hotel_105,2023-04-07,rmse,0.20467533110317446,0.10712943572099087,0.09712372864921404,0.10444917200729108,0.09985842829987092,,,
hotel_105,2023-05-05,rmse,0.09463863962789984,0.2015033879698213,0.15382261671399688,0.13035704387592317,0.18253126556454297,,,
hotel_105,2023-06-02,rmse,0.05687764433249381,0.06869056576297357,0.1002732974489918,0.08856768871143199,0.08850827214053314,0.10541541664181941,12207.489836377496,
hotel_105,2023-02-10,mape,0.31180506322411145,0.13292650126829259,0.11405556830138398,0.12906018015474147,0.12049551434270653,,,
hotel_105,2023-03-10,mape,0.142434951632412,0.12859902812894689,0.15192355377289818,0.13940766416760608,0.13124056804472137,,,
hotel_105,2023-04-07,mape,0.24029507290402327,0.11449520593608518,0.10839278118606609,0.11189302393113311,0.09567164002780777,,,
hotel_105,2023-05-05,mape,0.08800326371927973,0.17942638241154377,0.14210414077721806,0.1250555335928192,0.1718719855697183,,,
hotel_105,2023-06-02,mape,0.0516933654398048,0.055091467747823586,0.08013102395420076,0.07987496459292667,0.07860873363016241,0.09145165366461638,9986.356097209991,
hotel_112,2023-02-10,bias,0.1176339285714286,0.07477678571428571,0.08589922949513651,0.04838274537874505,0.05514490792623942,,,
hotel_112,2023-03-10,bias,0.03995535714285719,-0.005580357142857163,-0.014506203825716534,-0.028469113979920184,-0.023670099404067828,,,
hotel_112,2023-04-07,bias,-0.1611607142857143,-0.07008928571428573,-0.09603291203554475,0.0018719827625691171,0.027644898183409018,,,
hotel_112,2023-05-05,bias,-0.19977678571428567,-0.08459821428571428,-0.11823953652348758,-0.0831295063726867,-0.11837079800940038,,,
hotel_112,2023-06-02,bias,-0.11986607142857146,0.00334821428571425,-0.04060324526279616,-0.01793522939198029,0.03126307833083697,0.037473131503377624,-5832.467298235212,
hotel_112,2023-02-10,mae,0.12120535714285717,0.1064732142857143,0.09992872208012414,0.07969663783761112,0.08895613035470004,,,
hotel_112,2023-03-10,mae,0.09174107142857144,0.09977678571428573,0.09918374217916882,0.09830190562480737,0.10157017527980448,,,
hotel_112,2023-04-07,mae,0.1625,0.10669642857142858,0.10673759966007301,0.07398805054063685,0.08351732116588753,,,
hotel_112,2023-05-05,mae,0.19977678571428567,0.1171875,0.1303356633607417,0.10802444150783883,0.1240426049503556,,,
hotel_112,2023-06-02,mae,0.13102678571428575,0.13772321428571427,0.09265314383339229,0.09330293106629571,0.09154753781718421,0.09981382446629661,9948.431361607143,
hotel_112,2023-02-10,rmse,0.15041330707895686,0.13690516627787072,0.1315368742954474,0.10699729186995141,0.11790773393863455,,,
hotel_112,2023-03-10,rmse,0.11349387373334299,0.12242321755463126,0.11262347641979911,0.10885879647217117,0.12170955039628832,,,
hotel_112,2023-04-07,rmse,0.18453004981767682,0.12818487277031895,0.12760736580132268,0.08548819398265371,0.0995463945505616,,,
hotel_112,2023-05-05,rmse,0.22005668405306064,0.14512636888735475,0.1491189258763422,0.1225000919399512,0.15362921437145172,,,
hotel_112,2023-06-02,rmse,0.1596111695541029,0.16327510882162743,0.10711073149401654,0.10806537735067204,0.11025142701392955,0.1146265628707909,12228.634932378205,
hotel_112,2023-02-10,mape,0.15859322272427298,0.1374274806316518,0.13182813954536063,0.1046916932038097,0.11691498482751139,,,
hotel_112,2023-03-10,mape,0.11421606930561394,0.11815594329131858,0.1158194101083925,0.11297761711204195,0.11667206897441242,,,
hotel_112,2023-04-07,mape,0.18912294811626068,0.12720057931058387,0.12365193085274437,0.09352853790266794,0.1081135846406009,,,
hotel_112,2023-05-05,mape,0.21170551611822222,0.12632197147036622,0.13742447029445592,0.11529614765678099,0.1306564683743407,,,
hotel_112,2023-06-02,mape,0.13956099134250016,0.1596537436001604,0.10366192690584417,0.10736019765744258,0.11179396013929079,0.1210026368248798,11647.684410931966,
